id,title,text,label
358,Economy shows growth in diabetes sector,The government has passed a new law to improve diabetes accessibility.,REAL
359,City implements new alien system,The government has passed a new law to improve alien accessibility.,REAL
360,Aliens spotted in health!,Eyewitnesses claim they saw health hovering over the city last night.,FAKE
361,Economy shows growth in energy sector,The government has passed a new law to improve energy accessibility.,REAL
362,Celebrity caught in secret AI base,A new pill claims to completely cure AI in one week.,FAKE
363,Economy shows growth in lottery sector,Researchers successfully created a new eco-friendly lottery method.,REAL
364,Scientists develop sustainable energy source,The city has installed smart energy to reduce congestion.,REAL
365,Time traveler predicts health numbers,A new pill claims to completely cure health in one week.,FAKE
366,Government announces new traffic policy,The city has installed smart traffic to reduce congestion.,REAL
367,Local school wins diabetes award,Researchers successfully created a new eco-friendly diabetes method.,REAL
368,Secret government project reveals finance,Photos leaked showing a famous actor inside a hidden finance base.,FAKE
369,City implements new health system,The government has passed a new law to improve health accessibility.,REAL
370,Miracle cure for AI discovered,Photos leaked showing a famous actor inside a hidden AI base.,FAKE
371,Economy shows growth in lottery sector,The government has passed a new law to improve lottery accessibility.,REAL
372,Aliens spotted in New York!,A new pill claims to completely cure New York in one week.,FAKE
373,Government announces new finance policy,The city has installed smart finance to reduce congestion.,REAL
374,Secret government project reveals energy,Internal documents reveal secret project involving energy.,FAKE
375,Time traveler predicts lottery numbers,A man claims he traveled from the future and shared winning lottery numbers.,FAKE
376,Scientists develop sustainable diabetes source,The diabetes sector has shown positive growth in the last quarter.,REAL
377,Aliens spotted in lottery!,Internal documents reveal secret project involving lottery.,FAKE
378,Time traveler predicts alien numbers,Internal documents reveal secret project involving alien.,FAKE
379,Economy shows growth in lottery sector,The city has installed smart lottery to reduce congestion.,REAL
380,Economy shows growth in AI sector,Researchers successfully created a new eco-friendly AI method.,REAL
381,Secret government project reveals lottery,A new pill claims to completely cure lottery in one week.,FAKE
382,City implements new energy system,The energy sector has shown positive growth in the last quarter.,REAL
383,City implements new New York system,The government has passed a new law to improve New York accessibility.,REAL
384,Scientists develop sustainable health source,The health sector has shown positive growth in the last quarter.,REAL
385,Local school wins lottery award,The government has passed a new law to improve lottery accessibility.,REAL
386,Time traveler predicts energy numbers,A new pill claims to completely cure energy in one week.,FAKE
387,Economy shows growth in alien sector,Researchers successfully created a new eco-friendly alien method.,REAL
388,City implements new energy system,The city has installed smart energy to reduce congestion.,REAL
389,Time traveler predicts finance numbers,A new pill claims to completely cure finance in one week.,FAKE
390,Economy shows growth in traffic sector,The traffic sector has shown positive growth in the last quarter.,REAL
391,City implements new diabetes system,Researchers successfully created a new eco-friendly diabetes method.,REAL
392,Economy shows growth in New York sector,New York High School received the National Excellence Award for education.,REAL
393,Secret government project reveals finance,A new pill claims to completely cure finance in one week.,FAKE
394,Local school wins traffic award,traffic High School received the National Excellence Award for education.,REAL
395,Economy shows growth in diabetes sector,Researchers successfully created a new eco-friendly diabetes method.,REAL
396,Secret government project reveals traffic,A man claims he traveled from the future and shared winning traffic numbers.,FAKE
397,Secret government project reveals health,Internal documents reveal secret project involving health.,FAKE
398,City implements new finance system,The government has passed a new law to improve finance accessibility.,REAL
399,Government announces new alien policy,The government has passed a new law to improve alien accessibility.,REAL
400,Local school wins AI award,Researchers successfully created a new eco-friendly AI method.,REAL
401,Government announces new New York policy,The New York sector has shown positive growth in the last quarter.,REAL
402,Economy shows growth in traffic sector,The traffic sector has shown positive growth in the last quarter.,REAL
403,Time traveler predicts health numbers,Internal documents reveal secret project involving health.,FAKE
404,Economy shows growth in New York sector,New York High School received the National Excellence Award for education.,REAL
405,Scientists develop sustainable traffic source,The city has installed smart traffic to reduce congestion.,REAL
406,Celebrity caught in secret diabetes base,Internal documents reveal secret project involving diabetes.,FAKE
407,Secret government project reveals lottery,A man claims he traveled from the future and shared winning lottery numbers.,FAKE
408,Aliens spotted in finance!,A man claims he traveled from the future and shared winning finance numbers.,FAKE
409,Miracle cure for diabetes discovered,A new pill claims to completely cure diabetes in one week.,FAKE
410,Miracle cure for diabetes discovered,A new pill claims to completely cure diabetes in one week.,FAKE
411,Aliens spotted in lottery!,A man claims he traveled from the future and shared winning lottery numbers.,FAKE
412,City implements new lottery system,Researchers successfully created a new eco-friendly lottery method.,REAL
413,Scientists develop sustainable education source,education High School received the National Excellence Award for education.,REAL
414,City implements new New York system,New York High School received the National Excellence Award for education.,REAL
415,Time traveler predicts AI numbers,Photos leaked showing a famous actor inside a hidden AI base.,FAKE
416,Aliens spotted in energy!,Internal documents reveal secret project involving energy.,FAKE
417,Secret government project reveals health,A man claims he traveled from the future and shared winning health numbers.,FAKE
418,Secret government project reveals finance,Internal documents reveal secret project involving finance.,FAKE
419,Local school wins finance award,The finance sector has shown positive growth in the last quarter.,REAL
420,Miracle cure for finance discovered,A man claims he traveled from the future and shared winning finance numbers.,FAKE
421,City implements new education system,education High School received the National Excellence Award for education.,REAL
422,Economy shows growth in lottery sector,lottery High School received the National Excellence Award for education.,REAL
423,Aliens spotted in alien!,Photos leaked showing a famous actor inside a hidden alien base.,FAKE
424,Miracle cure for alien discovered,Photos leaked showing a famous actor inside a hidden alien base.,FAKE
425,Miracle cure for traffic discovered,Internal documents reveal secret project involving traffic.,FAKE
426,Miracle cure for finance discovered,A new pill claims to completely cure finance in one week.,FAKE
427,Aliens spotted in diabetes!,Photos leaked showing a famous actor inside a hidden diabetes base.,FAKE
428,Time traveler predicts traffic numbers,Eyewitnesses claim they saw traffic hovering over the city last night.,FAKE
429,Economy shows growth in education sector,The education sector has shown positive growth in the last quarter.,REAL
430,Economy shows growth in New York sector,New York High School received the National Excellence Award for education.,REAL
431,Scientists develop sustainable AI source,Researchers successfully created a new eco-friendly AI method.,REAL
432,Scientists develop sustainable AI source,The AI sector has shown positive growth in the last quarter.,REAL
433,City implements new traffic system,traffic High School received the National Excellence Award for education.,REAL
434,City implements new education system,The education sector has shown positive growth in the last quarter.,REAL
435,Scientists develop sustainable health source,The city has installed smart health to reduce congestion.,REAL
436,Miracle cure for alien discovered,Photos leaked showing a famous actor inside a hidden alien base.,FAKE
437,Miracle cure for diabetes discovered,Photos leaked showing a famous actor inside a hidden diabetes base.,FAKE
438,Miracle cure for health discovered,Internal documents reveal secret project involving health.,FAKE
439,Economy shows growth in health sector,The government has passed a new law to improve health accessibility.,REAL
440,City implements new education system,Researchers successfully created a new eco-friendly education method.,REAL
441,City implements new health system,The city has installed smart health to reduce congestion.,REAL
442,Economy shows growth in lottery sector,The government has passed a new law to improve lottery accessibility.,REAL
443,Secret government project reveals lottery,A man claims he traveled from the future and shared winning lottery numbers.,FAKE
444,Celebrity caught in secret alien base,A new pill claims to completely cure alien in one week.,FAKE
445,Miracle cure for traffic discovered,A man claims he traveled from the future and shared winning traffic numbers.,FAKE
446,Scientists develop sustainable energy source,The energy sector has shown positive growth in the last quarter.,REAL
447,Government announces new education policy,education High School received the National Excellence Award for education.,REAL
448,Miracle cure for education discovered,Internal documents reveal secret project involving education.,FAKE
449,Celebrity caught in secret AI base,Photos leaked showing a famous actor inside a hidden AI base.,FAKE
450,City implements new education system,The education sector has shown positive growth in the last quarter.,REAL
451,Aliens spotted in education!,Internal documents reveal secret project involving education.,FAKE
452,Miracle cure for finance discovered,Photos leaked showing a famous actor inside a hidden finance base.,FAKE
453,Scientists develop sustainable finance source,The government has passed a new law to improve finance accessibility.,REAL
454,Local school wins alien award,alien High School received the National Excellence Award for education.,REAL
455,Local school wins finance award,The city has installed smart finance to reduce congestion.,REAL
456,Economy shows growth in AI sector,The government has passed a new law to improve AI accessibility.,REAL
457,Aliens spotted in lottery!,Internal documents reveal secret project involving lottery.,FAKE
458,Secret government project reveals education,Photos leaked showing a famous actor inside a hidden education base.,FAKE
459,Secret government project reveals alien,A new pill claims to completely cure alien in one week.,FAKE
460,Local school wins New York award,The government has passed a new law to improve New York accessibility.,REAL
461,Secret government project reveals finance,Eyewitnesses claim they saw finance hovering over the city last night.,FAKE
462,Local school wins AI award,The government has passed a new law to improve AI accessibility.,REAL
463,Time traveler predicts energy numbers,Eyewitnesses claim they saw energy hovering over the city last night.,FAKE
464,Economy shows growth in traffic sector,The traffic sector has shown positive growth in the last quarter.,REAL
465,Miracle cure for New York discovered,Eyewitnesses claim they saw New York hovering over the city last night.,FAKE
466,Aliens spotted in diabetes!,A new pill claims to completely cure diabetes in one week.,FAKE
467,Economy shows growth in finance sector,The government has passed a new law to improve finance accessibility.,REAL
468,Aliens spotted in AI!,Internal documents reveal secret project involving AI.,FAKE
469,Scientists develop sustainable finance source,The government has passed a new law to improve finance accessibility.,REAL
470,Miracle cure for traffic discovered,Photos leaked showing a famous actor inside a hidden traffic base.,FAKE
471,Celebrity caught in secret education base,Internal documents reveal secret project involving education.,FAKE
472,Economy shows growth in alien sector,The government has passed a new law to improve alien accessibility.,REAL
473,Local school wins lottery award,Researchers successfully created a new eco-friendly lottery method.,REAL
474,Miracle cure for traffic discovered,A new pill claims to completely cure traffic in one week.,FAKE
475,City implements new diabetes system,Researchers successfully created a new eco-friendly diabetes method.,REAL
476,Government announces new finance policy,Researchers successfully created a new eco-friendly finance method.,REAL
477,Aliens spotted in health!,A man claims he traveled from the future and shared winning health numbers.,FAKE
478,Aliens spotted in finance!,Internal documents reveal secret project involving finance.,FAKE
479,Local school wins traffic award,The city has installed smart traffic to reduce congestion.,REAL
480,Economy shows growth in AI sector,AI High School received the National Excellence Award for education.,REAL
481,Scientists develop sustainable AI source,The AI sector has shown positive growth in the last quarter.,REAL
482,Celebrity caught in secret alien base,Internal documents reveal secret project involving alien.,FAKE
483,Local school wins traffic award,The traffic sector has shown positive growth in the last quarter.,REAL
484,Time traveler predicts education numbers,Eyewitnesses claim they saw education hovering over the city last night.,FAKE
485,Local school wins finance award,Researchers successfully created a new eco-friendly finance method.,REAL
486,Government announces new alien policy,alien High School received the National Excellence Award for education.,REAL
487,Economy shows growth in education sector,education High School received the National Excellence Award for education.,REAL
488,Economy shows growth in energy sector,The energy sector has shown positive growth in the last quarter.,REAL
489,City implements new finance system,The government has passed a new law to improve finance accessibility.,REAL
490,Celebrity caught in secret alien base,A new pill claims to completely cure alien in one week.,FAKE
491,Local school wins AI award,AI High School received the National Excellence Award for education.,REAL
492,Aliens spotted in lottery!,Eyewitnesses claim they saw lottery hovering over the city last night.,FAKE
493,Local school wins alien award,Researchers successfully created a new eco-friendly alien method.,REAL
494,City implements new traffic system,traffic High School received the National Excellence Award for education.,REAL
495,City implements new education system,The education sector has shown positive growth in the last quarter.,REAL
496,Economy shows growth in finance sector,Researchers successfully created a new eco-friendly finance method.,REAL
497,Miracle cure for energy discovered,A man claims he traveled from the future and shared winning energy numbers.,FAKE
498,Secret government project reveals health,Internal documents reveal secret project involving health.,FAKE
499,Celebrity caught in secret finance base,Eyewitnesses claim they saw finance hovering over the city last night.,FAKE
500,Local school wins energy award,The energy sector has shown positive growth in the last quarter.,REAL
